"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2XVXXCK6","blogPost","","","How to use the KDE Plasma 5 clipboard manager","14UM.NET","","","","https://14um.net/exciting-tips/linux/how-to-use-the-kde-plasma-5-clipboard-manager/","If you’re a KDE Plasma 5 user and you’re looking to take control of the clipboard, don’t go installi","","2020-02-21 15:50:40","2020-02-21 15:50:40","2020-02-21 15:50:40","","","","","","","","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPZX7P2J","webpage","","","Watch the best blitz games of lichess.org","lichess.org","","","","https://lichess.org/tv/blitz","Sit back, relax, and watch the best blitz lichess players compete on lichess TV","","2020-02-23 13:32:58","2020-02-23 13:32:58","2020-02-23 13:32:58","","","","","","","","","","","","","","en-GB","","","","","","","","","/home/donagh/Zotero/storage/PRTLRUZW/blitz.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UCUZKA6","webpage","","","How to Write Usefully","","","","","http://paulgraham.com/useful.html","","","2020-02-23 15:10:25","2020-02-23 15:10:25","2020-02-23 15:10:25","","","","","","","","","","","","","","","","","","","","","","","/home/donagh/Zotero/storage/SFFMV27Q/useful.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3NDFCSL","webpage","","","mayfrost/guides","GitHub","","","","https://github.com/mayfrost/guides","Looking for a guide? You came to the right place. Here you can find documentation for a variety of topics I research to make complex computing easier. For comments go to the IRC channel #nfo at the...","","2020-02-23 21:42:08","2020-02-23 21:42:15","2020-02-23 21:42:08","","","","","","","","","","","","","","en","","","","","","","","","/home/donagh/Zotero/storage/FDYM2VAV/ALTERNATIVES.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RRA7AMAX","webpage","","","Hacker News","","","","","https://news.ycombinator.com/news?p=2","","","2020-02-24 10:27:41","2020-02-24 10:27:45","2020-02-24 10:27:41","","","","","","","","","","","","","","","","","","","","","","","/home/donagh/Zotero/storage/8NQQ9LQS/news.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QZB4E8P","videoRecording","","","Schubert - Ave Maria","","","","","https://www.youtube.com/watch?v=2H5rusicEnc","¿Quieres música para tu boda? Visita nuestra web http://musicaevent.wix.com/musicaevent.   Música para bodas Huelva, Música para bodas Sevilla, Música para bodas Cádiz, Música para bodas Córdoba, música para amenizar, Música para boda, música clásica, cuarteto para bodas, cantante para bodas, soprano, tenor, música para concentrarte, música para estudiar, música bonita, la mejor música, qué música poner en mi boda, ave maría, Musica Instrumental Clasica Musica Instrumental Relajante Musica Relajante Musica Relajante de Naturaleza Musica Relajante Para Estudiar Musica Relajante Para dormir Musica Relajante para concentrarse Musica Relajante Instrumental Musica Relajante de Piano Musica Clasica Relajante Musica Clasica Instrumental La Mejor Musica Clasica La Mejor Musica Clasica Relajante La Mejor Musica Clasica Instrumental La Mejor Musica Clasica del Mundo La Mejor Musica Clasica de la Historia. Music Relaxing Music Store Classical Music Streams Online Music Online Music Store Music Files Free Music Download MIDI MP3 Stream Audio Music Store Playlists Crossover Composers Biographies Orchestras Baroque Classic Romantic Modern Opera Chamber Music Symphony Concerto Sonata Recital Concert Learning CDs Artists Performers History Albeniz Albinoni Bach Bartok Beethoven Berg Berlioz Bizet Brahms Bruch Bruckner Byrd Chopin Clementi Copland Corelli Couperin Debussy Donizetti Dvorak Elgar Faure Franck Gershwin Gluck Granados Grieg Handel Haydn Khachaturian Liszt Mahler Monteverdi Mozart Mussorgsky Palestrina Prokofiev Puccini Purcell Rachmaninov Rameau Reger Rimsky-Korsakov Rossini Saint-Saens Scarlatti Scarlatti Schubert Schumann Scriabin Shostakovich Sibelius Strauss Stravinsky Tchaikovsky Telemann Verdi Vivaldi Wagner music piano, flauta, violin, viola, chello, contrabajo, tuba, arpa, clarinete, oboe, trompeta, director de orquesta, flautin, fagot, percusión, viento madera, cuarteto de cuerda. Uno de los nocturnos mas comentados, mas vistos y superfavoritos de la música para piano. paisajes de invierno, melodias bellas para leer inspirarse y meditar, reiki, concierto para piano y orquesta chopin, nocturnos de chopin, mazurkas chopin, canciones para dormir, preludios chopin, sonata chopin relax, yoga, meditación, bellos paisajes, disfrutar, curso internacional para jovenes pianistas, la mejor musica de frederic chopin, chopin para todos, chopin para niños, chopin para estudiantes, chopin para piano, musica para mejorar la salud, best, video, joven pianista español, luis becerra pianista, uno de los mejores pianistas jovenes de españa, contemplate the most beautiful landscape, wonderful, sounds of nature chillout, musica para leer, para pensar, para sentir. repris dans le film le pianiste, the most beautiful melodies of the world, clase magistral del pianista chino, clase magistral del pianista español, maestro de piano, piano sevillano, Pianista sevillano Luis Becerra, Grabaciones historicas, composer, orquesta, barroco, romantico, clásico, impresionista, facebook luis becerra pianista, musica para despertar la imaginación, profesor de conservatorio, gira de conciertos, grandes interpretes, amantes de la musica, meditación, concentración, musica para dormir bien, music for sleep, musica para bebes, claming restful, chopin para calmar los nervios, artist at google, la musica amansa a las fieras, musica para despertar la inteligencia, musica clasica mexico, pianista famoso en Mexico Inglaterra España, clases de piano, consejos para pianistas, relajación meditacion hipnosis mente, pianistas de europa, the best of chopin, tutorial para piano chopin musica piano chopin, music for studing and sleeping, chopin musical career, musica para conbatir el insomnio, Chopin para dormir relajado y feliz, como tocar musica de chopin, free classical piano music download, partitura de la balada nº1 de chopin, consejos para pianistas, escuela municipal de musica, escuela online para musicos, pianistas profesionales del mundo, ciclo de conciertos de la fundación, musica de chopin para bebes.","","2020-02-24 10:27:56","2020-02-24 10:28:04","2020-02-24 10:27:56","","","","","","","","","","","","","","","","","","","YouTube","","","","","","","","","","","","","","","","","","","","","","","","","","","","6:15","","","","","","","","","","","","","","","","","","","","","","","","",""
"AW59AWZR","webpage","","","Internet Radio UK, online radio stations, listen to internet radio","Internetradiouk.com","","","","https://internetradiouk.com/","Internet Radio UK lists all top online radio stations from the United Kingdom. Click a radio icon and listen at home or in the office.","","2020-02-25 10:55:30","2020-02-25 10:55:30","2020-02-25 10:55:30","","","","","","","","","","","","","","en","","","","","","","","","/home/donagh/Zotero/storage/L47DLJEV/internetradiouk.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3YZNYEU","webpage","","","Internet radio stations from Ireland, listen live Irish radio","Ieradio.org","","","","https://ieradio.org/","All top internet radio stations from Ireland. Click a radio icon and listen at home or in the office.","","2020-02-25 10:58:02","2020-02-25 10:58:02","2020-02-25 10:58:02","","","","","","","","","","","","","","en","","","","","","","","","/home/donagh/Zotero/storage/3LP332EN/ieradio.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
